created_at,sum_interaction_count,sum_weighted_sentiment,positive_count,negative_count,null_count,volume_tweets,overall_sentiment,modified,Date,Symbol,Volume,VWAP,AdrActCnt,BlkCnt,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeTotUSD,HashRate,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrValAdjUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-03-14-17,0,0,0,0,2,2,"",2020-03-14-19,2020-03-14-19,0,62.99405546,5452.776666666668,772769,128,1283657.8671875,9.400592811849553E10,1.6552923967337246E13,274683.518593723,1.0532484013761191E8,31.862778974868494,-49.73207120030026,1.827070482107905E7,276029,1.8517536237781887E9,0.04785183210578993,0.09449182105071982,0.06932301673547145
2020-03-18-13,0,0,0,0,1,1,"",2020-03-18-15,2020-03-18-15,0,230.7137932,5337.4800000000005,633373,100,1167474.9,9.855562771275357E10,1.6552923967337244E13,326605.5590553371,8.228503135750929E7,34.94147308307534,-44.31019837411965,1.827646732104359E7,233212,1.9623040047400117E9,0.04856335356399164,0.09693823703761384,0.0707919779760933
2020-03-18-09,0,0,0,0,1,1,"",2020-03-18-11,2020-03-18-11,0,121.4114554,5138.568333333334,633373,100,1167474.9,9.855562771275357E10,1.6552923967337244E13,326605.5590553371,8.228503135750929E7,34.94147308307534,-44.31019837411965,1.827646732104359E7,233212,1.9623040047400117E9,0.04856335356399164,0.09693823703761384,0.0707919779760933
2020-03-19-07,0,0,0,0,2,2,"",2020-03-19-09,2020-03-19-09,0,510.2501136,5521.9766666666665,709786,107,1303697.27102804,1.1338730592847572E11,1.6552923967337246E13,426969.34300136194,8.804498355253497E7,53.90925811088357,-39.15285155226895,1.827780482103267E7,265543,2.2211306033624196E9,0.04971597242471073,0.10046163156791381,0.07328957878087382
2020-03-19-01,0,0,0,0,1,1,"",2020-03-19-03,2020-03-19-03,0,112.7303934,5313.599999999999,709786,107,1303697.27102804,1.1338730592847572E11,1.6552923967337246E13,426969.34300136194,8.804498355253497E7,53.90925811088357,-39.15285155226895,1.827780482103267E7,265543,2.2211306033624196E9,0.04971597242471073,0.10046163156791381,0.07328957878087382
2020-03-19-13,0,0,0,0,2,2,"",2020-03-19-15,2020-03-19-15,0,520.8208226,5899.078333333334,709786,107,1303697.27102804,1.1338730592847572E11,1.6552923967337246E13,426969.34300136194,8.804498355253497E7,53.90925811088357,-39.15285155226895,1.827780482103267E7,265543,2.2211306033624196E9,0.04971597242471073,0.10046163156791381,0.07328957878087382
2020-03-19-00,3,6,1,0,0,1,2.0,2020-03-19-02,2020-03-19-02,0,113.5690299,5349.818333333334,709786,107,1303697.27102804,1.1338730592847572E11,1.6552923967337246E13,426969.34300136194,8.804498355253497E7,53.90925811088357,-39.15285155226895,1.827780482103267E7,265543,2.2211306033624196E9,0.04971597242471073,0.10046163156791381,0.07328957878087382
2020-03-20-08,0,0,0,0,1,1,"",2020-03-20-10,2020-03-20-10,0,805.2088943,6835.8516666666665,734614,109,1267318.67889908,1.1285831133738545E11,1.6552923967337246E13,489224.6222283443,8.969068417968515E7,55.27475492919787,-35.926234919031565,1.827916732100537E7,282852,2.284857211220409E9,0.049711936587041164,0.10019725971089014,0.07328965258431144
2020-03-20-19,0,0,0,0,1,1,"",2020-03-20-21,2020-03-20-21,0,163.6733907,6105.306666666666,734614,109,1267318.67889908,1.1285831133738545E11,1.6552923967337246E13,489224.6222283443,8.969068417968515E7,55.27475492919787,-35.926234919031565,1.827916732100537E7,282852,2.284857211220409E9,0.049711936587041164,0.10019725971089014,0.07328965258431144
2020-03-20-10,0,0,0,0,1,1,"",2020-03-20-12,2020-03-20-12,0,110.7827511,6669.29,734614,109,1267318.67889908,1.1285831133738545E11,1.6552923967337246E13,489224.6222283443,8.969068417968515E7,55.27475492919787,-35.926234919031565,1.827916732100537E7,282852,2.284857211220409E9,0.049711936587041164,0.10019725971089014,0.07328965258431144
2020-03-20-13,0,0,0,0,2,2,"",2020-03-20-15,2020-03-20-15,0,311.2618708,6629.693333333334,734614,109,1267318.67889908,1.1285831133738545E11,1.6552923967337246E13,489224.6222283443,8.969068417968515E7,55.27475492919787,-35.926234919031565,1.827916732100537E7,282852,2.284857211220409E9,0.049711936587041164,0.10019725971089014,0.07328965258431144
2020-03-21-15,8,16,2,0,0,2,2.0,2020-03-21-17,2020-03-21-17,0,92.75014936,6130.871666666667,637554,124,1072780.13709677,1.1289862113926903E11,1.6552923967337246E13,273700.5240788023,1.0203343888331154E8,55.02021069011036,-35.762308381036156,1.828071732099991E7,238359,1.1543862940059125E9,0.049650078908307964,0.10020938517178457,0.0732619712195362
2020-03-22-16,6,12,3,0,0,3,2.0,2020-03-22-18,2020-03-22-18,0,461.8881451,6003.095,579901,127,879290.07086614,1.0659609310652202E11,1.6552923967337246E13,207073.85246221142,1.0450198982403682E8,46.43116366286333,-39.90226060699733,1.828230482099991E7,215499,1.0750296236128614E9,0.04906502431386314,0.10040080573483509,0.07356515744636616
