created_at,sum_interaction_count,sum_weighted_sentiment,positive_count,negative_count,null_count,volume_tweets,overall_sentiment,modified,Date,Symbol,Volume,Only_date,VWAP
2020-04-11-19,0,0,0,0,18,18,"",2020-04-11-21,2020-04-11-21,BTC.X,36.93152448,2020-04-11,6833.035
2020-03-25-03,8,14,4,2,7,13,1.75,2020-03-25-05,2020-03-25-05,BTC.X,139.231477,2020-03-25,6677.861666666667
2020-04-23-18,0,0,0,0,10,10,"",2020-04-23-20,2020-04-23-20,LTC.X,33.5449703,2020-04-23,43.426666666666655
2020-04-26-01,29,58,6,0,0,6,2.0,2020-04-26-03,2020-04-26-03,BTC.X,27.75422475,2020-04-26,7573.268333333333
2020-03-26-02,98,196,16,0,33,49,2.0,2020-03-26-04,2020-03-26-04,LTC.X,216.56606,2020-03-26,39.79
2020-03-31-02,21,40,4,1,21,26,1.9047619047619047,2020-03-31-04,2020-03-31-04,BTC.X,54.33846454,2020-03-31,6438.758333333334
2020-04-21-20,106,212,101,0,5,106,2.0,2020-04-21-22,2020-04-21-22,BTC.X,61.15906332,2020-04-21,6903.721666666667
2020-04-22-01,0,0,0,0,62,62,"",2020-04-22-03,2020-04-22-03,BCH.X,0.0,2020-04-22,239.97
2020-04-10-18,14,28,3,0,6,9,2.0,2020-04-10-20,2020-04-10-20,BTC.X,80.96186998,2020-04-10,6921.458333333333
2020-03-28-00,194,209,5,81,26,112,1.077319587628866,2020-03-28-02,2020-03-28-02,ETH.X,321.990943,2020-03-28,129.36833333333334
2020-03-31-04,27,42,9,7,5,21,1.5555555555555556,2020-03-31-06,2020-03-31-06,BTC.X,13.78911732,2020-03-31,6446.7266666666665
2020-04-06-22,0,0,0,0,15,15,"",2020-04-07-00,2020-04-07-00,BCH.X,0.0,2020-04-07,241.38
2020-04-09-18,11,22,6,0,6,12,2.0,2020-04-09-20,2020-04-09-20,ETH.X,454.268105,2020-04-09,169.94500000000002
2020-04-10-18,8,16,4,0,16,20,2.0,2020-04-10-20,2020-04-10-20,ETH.X,1198.522386,2020-04-10,158.8
2020-04-25-04,0,0,0,0,1,1,"",2020-04-25-06,2020-04-25-06,ETH.X,487.9184786,2020-04-25,195.15333333333334
2020-04-12-07,12,24,4,0,0,4,2.0,2020-04-12-09,2020-04-12-09,ETH.X,14.96072275,2020-04-12,158.08333333333334
2020-04-01-04,0,0,0,0,53,53,"",2020-04-01-06,2020-04-01-06,BCH.X,0.0,2020-04-01,210.85
2020-03-31-10,25,25,0,11,20,31,1.0,2020-03-31-12,2020-03-31-12,ETH.X,898.902201,2020-03-31,132.31833333333333
2020-04-05-04,17,29,4,1,10,15,1.7058823529411764,2020-04-05-06,2020-04-05-06,BTC.X,7.673005835,2020-04-05,6783.911666666667
2020-04-11-09,23,25,2,13,25,40,1.0869565217391304,2020-04-11-11,2020-04-11-11,BTC.X,6.873272522,2020-04-11,6876.771666666667
2020-04-11-17,49,51,1,12,22,35,1.0408163265306123,2020-04-11-19,2020-04-11-19,BTC.X,40.19199399,2020-04-11,6825.285
2020-04-30-16,60,120,16,0,15,31,2.0,2020-04-30-18,2020-04-30-18,ETH.X,899.3106148,2020-04-30,208.22833333333332
2020-04-08-23,145,290,42,0,14,56,2.0,2020-04-09-01,2020-04-09-01,BTC.X,48.39295159,2020-04-09,7343.096666666667
2020-04-15-15,26,26,0,10,8,18,1.0,2020-04-15-17,2020-04-15-17,ETH.X,156.5522208,2020-04-15,157.36333333333332
2020-04-22-13,0,0,0,0,48,48,"",2020-04-22-15,2020-04-22-15,BCH.X,0.0,2020-04-22,239.97
2020-04-29-00,47,93,14,1,12,27,1.9787234042553192,2020-04-29-02,2020-04-29-02,BTC.X,288.5395971,2020-04-29,7805.176666666666
2020-04-08-18,40,40,0,40,24,64,1.0,2020-04-08-20,2020-04-08-20,ETH.X,717.9550956,2020-04-08,171.60999999999999
2020-04-11-07,0,0,0,0,25,25,"",2020-04-11-09,2020-04-11-09,ETH.X,138.813239,2020-04-11,158.79999999999998
2020-04-18-00,90,180,45,0,0,45,2.0,2020-04-18-02,2020-04-18-02,BCH.X,0.0,2020-04-18,233.78
2020-03-26-04,28,52,4,1,24,29,1.8571428571428572,2020-03-26-06,2020-03-26-06,BTC.X,30.25172991,2020-03-26,6661.195
2020-03-22-17,49,49,0,7,0,7,1.0,2020-03-22-19,2020-03-22-19,LTC.X,1612.17349,2020-03-22,35.96666666666667
2020-04-27-07,19,30,6,4,8,18,1.5789473684210527,2020-04-27-09,2020-04-27-09,BTC.X,14.24734434,2020-04-27,7718.491666666668
2020-03-30-13,40,80,24,0,6,30,2.0,2020-03-30-15,2020-03-30-15,LTC.X,2475.71295,2020-03-30,39.01
2020-04-28-14,83,166,15,0,32,47,2.0,2020-04-28-16,2020-04-28-16,ETH.X,112.7284217,2020-04-28,196.15333333333334
2020-04-08-21,22,38,10,3,3,16,1.7272727272727273,2020-04-08-23,2020-04-08-23,BTC.X,66.55829282,2020-04-08,7375.078333333334
2020-04-25-15,39,78,14,0,2,16,2.0,2020-04-25-17,2020-04-25-17,ETH.X,219.2752105,2020-04-25,194.28166666666667
2020-04-30-20,0,0,0,0,19,19,"",2020-04-30-22,2020-04-30-22,LTC.X,580.54696,2020-04-30,46.925000000000004
2020-04-23-18,47,94,47,0,0,47,2.0,2020-04-23-20,2020-04-23-20,BCH.X,0.0,2020-04-23,235.37
2020-04-03-12,192,384,34,0,0,34,2.0,2020-04-03-14,2020-04-03-14,LTC.X,2319.07519,2020-04-03,40.50333333333333
2020-04-10-10,4,4,0,4,5,9,1.0,2020-04-10-12,2020-04-10-12,BTC.X,31.95803425,2020-04-10,6917.474999999999
2020-04-19-09,2,4,2,0,5,7,2.0,2020-04-19-11,2020-04-19-11,BTC.X,8.47540229,2020-04-19,7171.441666666666
2020-03-26-17,204,223,9,53,9,71,1.0931372549019607,2020-03-26-19,2020-03-26-19,BTC.X,59.5735204,2020-03-26,6680.47
2020-04-15-23,0,0,0,0,48,48,"",2020-04-16-01,2020-04-16-01,BCH.X,0.0,2020-04-16,207.0
2020-03-26-07,0,0,0,0,12,12,"",2020-03-26-09,2020-03-26-09,ETH.X,252.476974,2020-03-26,135.47666666666666
2020-04-02-15,116,225,40,7,0,47,1.9396551724137931,2020-04-02-17,2020-04-02-17,LTC.X,2215.860642,2020-04-02,41.92166666666667
2020-04-16-04,63,125,51,1,34,86,1.9841269841269842,2020-04-16-06,2020-04-16-06,BTC.X,41.15895392,2020-04-16,6672.661666666667
2020-03-24-13,38,76,38,0,21,59,2.0,2020-03-24-15,2020-03-24-15,BTC.X,396.9408621,2020-03-24,6635.028333333333
2020-04-02-15,130,260,40,0,12,52,2.0,2020-04-02-17,2020-04-02-17,BTC.X,1130.652886,2020-04-02,7067.386666666665
2020-04-13-07,4,6,2,2,16,20,1.5,2020-04-13-09,2020-04-13-09,BTC.X,34.85371907,2020-04-13,6706.028333333333
2020-03-31-15,132,264,66,0,0,66,2.0,2020-03-31-17,2020-03-31-17,ETH.X,284.527534,2020-03-31,132.71
2020-04-14-02,0,0,0,0,6,6,"",2020-04-14-04,2020-04-14-04,LTC.X,969.78199,2020-04-14,41.593333333333334
2020-04-22-00,88,176,13,0,0,13,2.0,2020-04-22-02,2020-04-22-02,ETH.X,99.23842,2020-04-22,172.01833333333332
2020-03-30-10,4,8,4,0,8,12,2.0,2020-03-30-12,2020-03-30-12,ETH.X,645.7823137,2020-03-30,133.57833333333335
2020-04-07-16,71,111,9,9,14,32,1.5633802816901408,2020-04-07-18,2020-04-07-18,BTC.X,83.88145689,2020-04-07,7343.62
2020-04-10-07,31,54,7,6,45,58,1.7419354838709677,2020-04-10-09,2020-04-10-09,BTC.X,69.66081024,2020-04-10,6919.481666666667
2020-03-22-22,10,20,10,0,0,10,2.0,2020-03-23-00,2020-03-23-00,ETH.X,4952.331815,2020-03-23,123.13
2020-03-24-16,192,384,30,0,0,30,2.0,2020-03-24-18,2020-03-24-18,BTC.X,271.5442639,2020-03-24,6665.903333333333
2020-04-06-17,366,732,48,0,5,53,2.0,2020-04-06-19,2020-04-06-19,ETH.X,2899.088527,2020-04-06,166.415
2020-04-12-00,0,0,0,0,22,22,"",2020-04-12-02,2020-04-12-02,LTC.X,344.02603,2020-04-12,42.275
2020-04-23-23,110,220,15,0,0,15,2.0,2020-04-24-01,2020-04-24-01,LTC.X,7.24796,2020-04-24,43.45666666666667
2020-04-17-02,16,30,6,1,8,15,1.875,2020-04-17-04,2020-04-17-04,BTC.X,12.2957414,2020-04-17,7076.884999999999
